Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,wholeAddressShotgun
1527860,"October 12, 2019",Ohio,Lakeside Marblehead,513 W Main St,0,0,"513 W Main St, Lakeside Marblehead, Ohio"
1525121,"October 11, 2019",Iowa,Waterloo,Glenny Ave,0,0,"Glenny Ave, Waterloo, Iowa"
1523543,"October 10, 2019",Nevada,Las Vegas,4255 W Viking Rd,0,1,"4255 W Viking Rd, Las Vegas, Nevada"
1528075,"October 10, 2019",Pennsylvania,Landenberg,213 Northbank Rd,0,1,"213 Northbank Rd, Landenberg, Pennsylvania"
1526519,"October 10, 2019",California,Salinas,N Market St,0,0,"N Market St, Salinas, California"
1524024,"October 10, 2019",Texas,Marshall,603 S Bishop St,0,0,"603 S Bishop St, Marshall, Texas"
1523526,"October 8, 2019",Texas,Dallas,Cliffmere Dr,0,0,"Cliffmere Dr, Dallas, Texas"
1526748,"October 8, 2019",Nebraska,Lincoln,7th St and D St,0,0,"7th St and D St, Lincoln, Nebraska"
1524648,"October 8, 2019",Georgia,Lizella,Bethel Church Rd,0,0,"Bethel Church Rd, Lizella, Georgia"
1522158,"October 8, 2019",Kentucky,Greenville,S Main St,0,0,"S Main St, Greenville, Kentucky"
1522568,"October 8, 2019",Utah,Hurricane (Apple Valley),68 N Coyote Rd,0,1,"68 N Coyote Rd, Hurricane (Apple Valley), Utah"
1528068,"October 8, 2019",Ohio,Cincinnati,Berkley Ave,0,0,"Berkley Ave, Cincinnati, Ohio"
1522965,"October 8, 2019",Kentucky,New Concord,Ridge Rd,0,0,"Ridge Rd, New Concord, Kentucky"
1523014,"October 7, 2019",West Virginia,Bridgeport,Langtown Rd,0,0,"Langtown Rd, Bridgeport, West Virginia"
1521387,"October 7, 2019",Illinois,Lockport,N/A,0,0,"N/A, Lockport, Illinois"
1530814,"October 7, 2019",Pennsylvania,Coplay,3100 block of Levans Rd,0,0,"3100 block of Levans Rd, Coplay, Pennsylvania"
1525195,"October 7, 2019",Indiana,Hammond,6500 block of Jefferson Ave,1,0,"6500 block of Jefferson Ave, Hammond, Indiana"
1527348,"October 6, 2019",Wisconsin,Marinette (county),N/A,0,1,"N/A, Marinette (county), Wisconsin"
1521765,"October 6, 2019",Texas,Huntsville,2615 El Toro Rd,0,0,"2615 El Toro Rd, Huntsville, Texas"
1521379,"October 6, 2019",Illinois,Decatur,3200 block of Beth Blvd,0,0,"3200 block of Beth Blvd, Decatur, Illinois"
1521467,"October 5, 2019",Virginia,Fulks Run,13000 block of 3rd Hill Rd,2,0,"13000 block of 3rd Hill Rd, Fulks Run, Virginia"
1522213,"October 5, 2019",Oregon,Lebanon,800 block of Cascade Dr,0,0,"800 block of Cascade Dr, Lebanon, Oregon"
1521951,"October 5, 2019",Kansas,Salina,200 block of S 10th St,0,0,"200 block of S 10th St, Salina, Kansas"
1522216,"October 4, 2019",Oregon,Albany,1100 block Jackson St SE,0,0,"1100 block Jackson St SE, Albany, Oregon"
1520861,"October 4, 2019",California,Bakersfield,1200 block of Kentucky St,0,0,"1200 block of Kentucky St, Bakersfield, California"
1519651,"October 3, 2019",Texas,Dallas,200 block of Creek Cove Dr,0,0,"200 block of Creek Cove Dr, Dallas, Texas"
1520021,"October 3, 2019",New York,Buffalo,Mineral Springs Rd,0,0,"Mineral Springs Rd, Buffalo, New York"
1519478,"October 3, 2019",South Carolina,Columbia,100 block of Ballenton Rd,1,2,"100 block of Ballenton Rd, Columbia, South Carolina"
1520413,"October 3, 2019",Delaware,Greenwood,6200 block of Hickman Rd,0,0,"6200 block of Hickman Rd, Greenwood, Delaware"
1519710,"October 3, 2019",Minnesota,Minneapolis,300 block of 16th Ave N,0,0,"300 block of 16th Ave N, Minneapolis, Minnesota"
1518728,"October 1, 2019",California,Eureka,1800 block of California St,0,0,"1800 block of California St, Eureka, California"
1516580,"September 30, 2019",Indiana,Indianapolis,S Post Rd and E Washington St,0,0,"S Post Rd and E Washington St, Indianapolis, Indiana"
1516290,"September 30, 2019",Washington,Kennewick,300 block of N Union St,0,0,"300 block of N Union St, Kennewick, Washington"
1522301,"September 29, 2019",North Carolina,Asheboro,Hanner Hill Rd,0,0,"Hanner Hill Rd, Asheboro, North Carolina"
1517872,"September 29, 2019",South Carolina,Vance,Damascus Dr,1,0,"Damascus Dr, Vance, South Carolina"
1517360,"September 29, 2019",Kansas,Claflin,1500 block of NE 100th Rd,4,0,"1500 block of NE 100th Rd, Claflin, Kansas"
1515396,"September 28, 2019",Michigan,Clinton Township,Stafford St,0,1,"Stafford St, Clinton Township, Michigan"
1515518,"September 28, 2019",Illinois,Mundelein,200 block of Longwood Terrace,0,1,"200 block of Longwood Terrace, Mundelein, Illinois"
1515228,"September 28, 2019",Wisconsin,Milwaukee,W Watertown Plank Rd and I-41,0,0,"W Watertown Plank Rd and I-41, Milwaukee, Wisconsin"
1516257,"September 27, 2019",Texas,Longview,211 W College St,0,0,"211 W College St, Longview, Texas"
1515500,"September 27, 2019",Texas,College Station,Shallow Creek Loop,0,0,"Shallow Creek Loop, College Station, Texas"
1642004,"September 27, 2019",Ohio,Dayton,Anna Street and Second Street,0,0,"Anna Street and Second Street, Dayton, Ohio"
1514531,"September 27, 2019",Oregon,Coos Bay,Libby Ln,0,0,"Libby Ln, Coos Bay, Oregon"
1514425,"September 26, 2019",Colorado,Delta,US-50,0,0,"US-50, Delta, Colorado"
1516054,"September 26, 2019",South Dakota,Sioux Falls,4500 block of E 42nd Ave,0,0,"4500 block of E 42nd Ave, Sioux Falls, South Dakota"
1512736,"September 25, 2019",Oklahoma,Oklahoma City,2100 block of N Fonshill Ave,0,1,"2100 block of N Fonshill Ave, Oklahoma City, Oklahoma"
1513533,"September 25, 2019",New York,Newburgh,Benkard Ave and William St,1,0,"Benkard Ave and William St, Newburgh, New York"
1515999,"September 25, 2019",North Carolina,Greenville,400 block of Biltmore St,0,0,"400 block of Biltmore St, Greenville, North Carolina"
1512563,"September 24, 2019",Connecticut,Stratford,100 Larkin Court,0,0,"100 Larkin Court, Stratford, Connecticut"
1511863,"September 23, 2019",South Carolina,Moncks Corner,200 block of Maywood Dr,0,0,"200 block of Maywood Dr, Moncks Corner, South Carolina"
1511315,"September 23, 2019",New York,Wantagh,Bayview Ave,0,0,"Bayview Ave, Wantagh, New York"
1519737,"September 23, 2019",Oklahoma,Ada,Pruitt Rd,0,0,"Pruitt Rd, Ada, Oklahoma"
1561311,"September 23, 2019",Texas,Electra,300 block of Louisiana Court,0,0,"300 block of Louisiana Court, Electra, Texas"
